UE/BS_ratio,Throughput
50.0,25890.605690838456
52.578947368421055,25377.263875230372
55.55555555555556,24752.613156915773
58.8235294117647,24158.649750648292
62.5,23470.48725325542
66.6,22851.624365383355
71.42857142857143,21989.578447925604
76.92307692307692,21194.333211094745
83.33333333333333,20241.359209057773
90.81818181818181,19166.455232716875
100.0,18153.557109871876
111.0,17057.878002631132
124.625,15797.303955945024
142.71428571428572,14261.907697891618
166.66666666666666,12682.568208495055
200.0,10916.193650552592
250.0,9195.417825832345
333.3333333333333,7064.074819767749
500.0,4775.030781993149
1000.0,2444.653336268324
